Stock,CAPM_IS_R2,CAPM_OOS_R2,FF5_IS_R2,FF5_OOS_R2,CAPM_Degradation,FF5_Degradation
AAPL,0.38985567185689207,0.5337983325164961,0.45218138835055643,0.5294646618133918,-0.14394266065960404,-0.07728327346283537
MSFT,0.45257651312371905,0.4418151577750623,0.6236294204740023,0.531116766635279,0.010761355348656743,0.09251265383872331
GOOGL,0.33732503522994206,0.3642831476841666,0.4188340710973981,0.4343439078266893,-0.026958112454224525,-0.015509836729291182
JPM,0.23996992392688588,0.5452083050647849,0.5030301954120361,0.5995071381948196,-0.30523838113789903,-0.09647694278278351
XOM,0.045031846963609956,0.16089695639991342,0.28740397588163935,0.320442079086505,-0.11586510943630346,-0.033038103204865665
