Stock,CAPM_R2,FF3_R2,C4_R2,FF5_R2,FF5_vs_CAPM,FF5_vs_FF3
AAPL,0.4726060232628333,0.4735902159986938,0.4986221956999142,0.5069815751231488,0.03437555186031549,0.03339135912445501
MSFT,0.4574584623138849,0.5490508995711711,0.5491540391019618,0.5952554943014758,0.13779703198759097,0.04620459473030469
GOOGL,0.3515805926042507,0.3934307522744293,0.3939024633439887,0.42723767716258576,0.07565708455833509,0.03380692488815645
JPM,0.3617457967289437,0.5401431006340146,0.5492598754914377,0.5494351575805709,0.18768936085162724,0.009292056946556326
XOM,0.0899940872569911,0.2939965215325721,0.3097987219712519,0.30324702101556233,0.21325293375857124,0.009250499482990227
