Date,AAPL,MSFT,GOOGL,JPM,XOM,Market
2023-01-04,0.010181891031778675,-0.04480809312123093,-0.011817607998811059,0.009202687678236841,0.00282692972036697,0.007431329482773837
2023-01-05,-0.0107406529975349,-0.03016529434187249,-0.02165473048239508,-0.0003012037744981462,0.02204797866868846,-0.011793234215822238
2023-01-06,0.03605405590133263,0.011637142709603048,0.01305898569081644,0.018875173792017665,0.01193501821329907,0.02250447050966581
2023-01-09,0.004001248052930537,0.00961002531899045,0.007676118387590999,-0.0042200828392100495,-0.018892423560222714,-0.0008472924053556576
2023-01-10,0.004367017428224689,0.007509047793721913,0.004454846938221591,0.008835012048965786,0.014744967437748162,0.006874632891228654
2023-01-11,0.02081301340055361,0.029710432931102617,0.0343800193646062,0.007324401955718759,0.011480504296723225,0.012688206112928596
2023-01-12,-0.0006789415136083998,0.011474973571723888,-0.004349829646496306,-0.001082555275185305,0.016395563071081393,0.003330719832677651
2023-01-13,0.009988936571094413,0.002934884865838905,0.010725684838429035,0.024842180858403014,-0.0006979010616253639,0.003909527065290972
2023-01-17,0.008639064789013601,0.004591584537918454,-0.009130188232371082,-0.015653400532358856,-0.002025635891144628,-0.002111920510361393
2023-01-18,-0.005463943026334676,-0.01914928720533222,-0.0019434176816739185,-0.03058230556501017,-0.020836980216805655,-0.015764332057109753
2023-01-19,0.0003645085830469489,-0.01667012242057145,0.020880439586934894,-0.013495594890430219,0.006319081790822531,-0.007747036981177507
2023-01-20,0.018958806753765052,0.035040211455924904,0.05195511422700405,0.0023665122886567572,0.01799197294898804,0.01866230847298688
2023-01-23,0.02314944623203109,0.009696988582903795,0.017817096283638575,0.01600336359304968,-0.0052980907097065506,0.011731950871963475
2023-01-24,0.009933372129583059,-0.0023080219967598096,-0.02124586805122586,0.008479930358431,0.009189424460720937,-0.0007911214436568986
2023-01-25,-0.004791310505655767,-0.006004890940520962,-0.02579092370232128,0.004748468828714825,-0.00536523826593319,-0.0002611066528307426
2023-01-26,0.014615197004326804,0.030171831218885597,0.02378816396058717,0.00608344792205479,0.0393248388338074,0.010868342949749223
2023-01-27,0.013512395938854461,0.0005656772995091413,0.018713445387410724,0.002346631219677144,-0.018505679404372,0.002412368942338776
2023-01-30,-0.020361809149642328,-0.022285709911961465,-0.024837304095977356,-0.008596344367757181,-0.01797040285927143,-0.013132934394657743
2023-01-31,0.00890126253047675,0.020715602262337547,0.019330597775311802,0.005868591087647057,0.021265696265273012,0.014456939337054447
2023-02-01,0.007790355553131178,0.019659228225742696,0.015879288369600463,-0.002726475899141433,-0.011087178848117945,0.01031869121751965
2023-02-02,0.03631274450425336,0.04573901668911459,0.07018056763446094,-0.004746689097459922,-0.031867278087126444,0.014513019547489299
2023-02-03,0.02402765334753112,-0.023983387797700373,-0.027937382892998835,0.015276286225846118,0.006824219916708098,-0.010487957716650535
2023-02-06,-0.018170779281955513,-0.006213835175944982,-0.01818460447036449,0.005786205248865661,-0.0017783736283881048,-0.0062387582733043415
2023-02-07,0.018982527443771147,0.04108363444783975,0.044955426282190944,0.012036991400510908,0.028071612657875226,0.012710998958031995
2023-02-08,-0.017889746532798154,-0.0031861924229718403,-0.08002150923714416,-0.007135177221618606,-0.0088191480406421,-0.011221938091776433
2023-02-09,-0.007014817223541102,-0.01180758028390782,-0.04494751959530347,-0.01576551046299045,0.003688027288517552,-0.008948374910402465
2023-02-10,0.0023734975458154666,-0.002053660878139052,-0.0047213002881296975,0.004326222494831818,0.041207715165465994,0.002113490629852048
2023-02-13,0.018553045306137373,0.030685223508463352,0.00034360186066097003,0.010710308118697791,-0.003976609685719626,0.011304204871790065
2023-02-14,-0.004313503279286381,0.0030486305427313226,0.0006603359228703282,0.004329716834673423,-0.011863284952491376,-0.0003598189348588418
2023-02-15,0.013728635919047416,-0.008104456299109861,0.023510117686464268,0.0041018995100992805,-0.0030903214788149014,0.0026899724537116096
2023-02-16,-0.010563718101044423,-0.027062734542803515,-0.014940758381153284,-0.013944235222440395,-0.003012963347972036,-0.013964054284246685
2023-02-17,-0.007654851019734855,-0.015804329153883516,-0.012299113980624042,0.0028776382912444683,-0.03928959359088685,-0.0028506072516478135
2023-02-21,-0.02712145435543341,-0.021187060083920944,-0.02758713021604946,-0.018598962889868,-0.0010684249913516224,-0.020324149052836776
2023-02-22,0.0028122488560809846,-0.004681024570510763,-0.0016057784442470055,-0.0077720549862288725,-0.013117056582198616,-0.0016541605650084632
2023-02-23,0.003206012447990991,0.012799135945659736,-0.00840642640514988,0.007899799360323596,0.009082851280208871,0.005235913183872649
2023-02-24,-0.018248752530271032,-0.02210441808201414,-0.019633395186372835,0.008901434352000215,1.089755482307522e-05,-0.010672829699139264
2023-02-27,0.008134356448890953,0.0036853267321517204,0.00818882146943607,0.008610514476672998,-0.0018867026174693665,0.0029889274601871984
2023-02-28,-0.0035330202076963146,-0.0030419361115691114,0.002032693085722392,0.008256723424585463,-0.005885478504985186,-0.003119984910312791
2023-03-01,-0.014428083042930247,-0.012788989240353167,0.0032461032054581637,-0.005675802458779262,0.008797441437831144,-0.004815829282857911
2023-03-02,0.004041441600367805,0.019383213767362857,0.0179075197776559,-0.010515950976872435,0.004509294504062976,0.007474228651830894
2023-03-03,0.034409373373630474,0.016429690665307847,0.017696570330653246,0.018113681901372466,0.01249825755239012,0.01593938409711798
2023-03-06,0.018289895978018493,0.006090514929287833,0.015600549885019814,-0.0059437701242654175,0.008746132099777685,0.0006075656994832218
2023-03-07,-0.014681756094664742,-0.010724898187984914,-0.013519356849760673,-0.029927917208550564,-0.0195992066302011,-0.015524955558627627
2023-03-08,0.008262929649542967,-0.0018516073158812711,0.004067064630174947,-0.0060124685480455395,-0.014791289319670026,0.0013344290562381927
2023-03-09,-0.015106412125334973,-0.005533558289616281,-0.02076936276206948,-0.05573614804004029,-0.007838226755846844,-0.018711223024847432
