Stock,Alpha,Beta_Mkt,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Alpha_pvalue,Beta_Mkt_pvalue,Beta_RMW_pvalue,Beta_CMA_pvalue
AAPL,3.5697168529966235e-05,1.182716491564566,0.024167088592785213,-0.32703846892752225,0.6714289483833576,0.048403000995184735,0.5069815751231488,0.9314620975464428,2.0431580364352596e-101,1.4375483261810074e-12,0.5896966759685727
MSFT,-0.00025813814163108434,0.9576499839869433,-0.22529397832510703,-0.428594089675358,0.3009114212051388,-0.6053873673845837,0.5952554943014758,0.4499847283720013,5.389371829432031e-99,9.584569197497514e-05,1.0679412815166024e-15
GOOGL,0.00040072416357606115,1.0731484876937971,-0.008448006646233155,-0.4687653591413302,0.33345971957794396,-0.689012134717598,0.42723767716258576,0.4508559589349038,2.1681615328895363e-59,0.005331410029746946,3.100421012781915e-09
JPM,0.0003390358586360923,1.0507139952218214,-0.34180348136917904,0.9976998508669087,-0.3577412227985343,-0.07402337021314999,0.5494351575805709,0.34575162968260387,3.0059039559064323e-105,1.075847804398438e-05,0.34107534273893103
XOM,-0.0001583502981833173,0.675895843954958,-0.07635970184242064,0.8148280929217293,0.2927963722599152,0.23799140745239655,0.30324702101556233,0.718404714400287,1.1466464863498275e-37,0.0030814271446611132,0.012376629948374403
