Stock,Alpha,Beta,R_squared,Alpha_pvalue,Beta_pvalue
AAPL,0.0001644615811328214,1.163814550158402,0.4726060232628333,0.699694702715767,3.683673167362571e-106
MSFT,0.0001634832590141082,1.0401907884355561,0.4574584623138849,0.6773073770372964,1.5095636432445793e-101
GOOGL,0.0007736186075698761,1.1922899845708914,0.3515805926042507,0.16854586017899303,1.7004172884741946e-72
JPM,0.0005342964133242289,0.9224653307255801,0.3617457967289437,0.20883964942259176,4.513074814415909e-75
XOM,-9.399104177830347e-05,0.45197110031917564,0.0899940872569911,0.8504202690887612,4.4039482069893415e-17
