Regime,Days,Mkt_RF_Return,Mkt_RF_Sharpe,SMB_Return,SMB_Sharpe,HML_Return,HML_Sharpe,MOM_Return,MOM_Sharpe
Bull,588,0.21574285714285718,1.7285031343355655,-0.06252857142857143,-0.5424910589200652,0.04208571428571429,0.37144213325112485,0.07148571428571428,0.5387463611336606
Bear,23,-0.5313913043478259,-1.095752429514933,-0.2739130434782609,-2.125919041933673,-0.1764,-1.1620182034176412,0.7943478260869566,5.0667260683216755
Sideways,140,0.11952000000000003,0.7079994891582031,-0.013860000000000023,-0.14332107360339946,-0.35586,-2.774656265244128,-0.20915999999999998,-1.118686609834617
