Stock,Alpha,Beta_Mkt,Beta_SMB,Beta_HML,R_squared,Alpha_pvalue,Beta_Mkt_pvalue,Beta_SMB_pvalue,Beta_HML_pvalue
AAPL,-6.471078140102991e-06,1.1205731110454864,-0.22430612859437596,-0.18885080683735644,0.4735902159986938,0.9879158572935729,1.2882395410795505e-90,0.0006366023222873175,0.0017506481128295082
MSFT,-6.426633529277287e-05,0.9615135575353985,-0.3303123622687589,-0.5525343525440382,0.5490508995711711,0.8580228722005798,2.013300338253647e-93,2.945389988249615e-09,6.762856661904419e-26
GOOGL,0.0006242903616851931,1.0707280199725828,-0.12936059186830354,-0.5487050731601073,0.39343075227442936,0.25199892735332324,1.7944355743267454e-57,0.12120845029902146,1.9669329255865462e-12
JPM,0.0003548763190109546,1.1095490621974016,-0.25168310353892415,0.8397907602498977,0.5401431006340146,0.32679266551219277,5.81328649612179e-114,6.400631062247403e-06,2.3474341103333212e-52
XOM,-0.00027152674439469255,0.6565211104642913,-0.2315734372810344,0.9052434341592122,0.29399652153257216,0.5375374657196152,4.31037011654745e-36,0.0006232881972942476,1.0719934870113796e-42
