Stock,Alpha,Beta_Mkt,Beta_SMB,Beta_HML,Beta_MOM,R_squared,Alpha_pvalue,Beta_Mkt_pvalue,Beta_SMB_pvalue,Beta_HML_pvalue,Beta_MOM_pvalue
AAPL,-1.3614415857048325e-05,1.1402292376917478,-0.35693756211043315,-0.26439684271052594,-0.3030320873064814,0.4986221956999142,0.9739705914163084,5.316929872157889e-96,1.5996985833185145e-07,1.2075954684844906e-05,1.673764588162771e-09
MSFT,-6.38511054322308e-05,0.96037064861936,-0.3225949154297175,-0.5481391723285025,0.01762996676138644,0.5491540391019618,0.8590086699030783,8.003713634466601e-93,3.9479598367848784e-08,1.455376714777188e-24,0.6803436569232099
GOOGL,0.000623126163488148,1.0739327473577012,-0.15098847149930153,-0.5610252701875167,-0.04941586504512214,0.3939024633439887,0.2530191071017688,1.7023926481704945e-57,0.08697084889229861,1.951744228479796e-12,0.4462673856821454
JPM,0.00035878189887322056,1.0988018276597789,-0.1791665147019516,0.8810967919313714,0.1656834881106761,0.5492598754914377,0.3169845504137958,1.7692993337076525e-113,0.0020632888402064256,1.5997464041240834e-55,0.0001116711341777244
XOM,-0.00027657788569771186,0.6704197792103234,-0.32535809383914277,0.8518232461451977,-0.21427524203459639,0.3097987219712519,0.5256070337256327,6.061671443197222e-38,4.542656831152766e-06,9.150233542414235e-38,3.9904041194780805e-05
